size,index,value,update_ns
2000,1931,4961,355
2000,1779,7548,278
2000,1983,6083,315
2000,1493,5472,405
2000,855,7900,369
2000,127,2683,333
2000,1312,2086,292
2000,1845,9807,296
2000,1167,4169,369
2000,1244,9607,354
2000,619,8304,319
2000,1845,8680,274
2000,593,8772,323
2000,1731,6366,306
2000,1389,8486,419
2000,1582,6685,407
2000,156,6985,743
2000,1028,550,620
2000,1010,4292,561
2000,1034,6262,384
2000,1552,9832,433
2000,113,588,422
2000,1855,3376,407
2000,1175,1485,362
2000,681,1075,491
2000,478,335,371
2000,489,4703,314
2000,1345,3,425
2000,786,6286,401
2000,1517,2981,402
2000,1931,4961,389
2000,1779,7548,290
2000,1983,6083,340
2000,1493,5472,442
2000,855,7900,370
2000,127,2683,374
